user_id,wrong_max
10351,1434346272
1090,1526407909
11078,1466517269
11563,1503058608
11888,1436820119
12529,1499829139
13282,1453305129
13610,1457440236
14204,1436871131
15271,1514495302
15634,1511550462
16250,1525278763
16504,1484595603
16576,1436458145
16974,1472999398
18130,1451175922
18314,1449143955
18574,1470766306
19338,1487537785
20428,1436046523
21259,1436167194
2136,1436204561
21452,1437463660
2162,1458046878
21783,1434384046
21889,1504462788
22254,1435815017
23097,1502659404
23459,1479841407
24114,1513855271
24269,1437416464
25894,1520181178
25912,1436732024
26112,1506708486
296,1492468976
3210,1457820134
3606,1435167884
4032,1449769140
6731,1448551165
675,1496127427
691,1505079220
7273,1524682498
8304,1453483197
9583,1488968681
9993,1435779135
10272,1467477252
11205,1500820420
11247,1451563937
12888,1487092679
13187,1437146623
1394,1525764014
14879,1484852646
19289,1522189055
19369,1482950492
19919,1436194438
19990,1434659920
20256,1454829607
20959,1510161538
21711,1469767870
22542,1503783676
23479,1467366251
2393,1502134014
24528,1515056856
25821,1522167574
2756,1520421579
3015,1525710159
3281,1506156725
3368,1478752746
4838,1491087312
4894,1459899066
5067,1494616329
5523,1507808683
6366,1464736049
6797,1490715591
8092,1474383755
944,1469061901
9569,1474725259
9975,1462480223
10250,1436467865
11251,1523968114
11351,1483484586
11687,1519197732
11822,1435447487
12003,1434614823
12204,1456345000
13107,1492517974
13460,1523869164
1361,1521996606
14525,1435521394
17260,1493916545
17438,1522075285
17741,1436549412
1808,1436820739
1870,1434396705
19051,1436821387
19817,1513338033
20546,1509427955
21016,1498659599
24285,1441281419
24580,1437347710
24905,1492337480
25155,1434357709
25685,1497966809
25865,1507650031
26456,1434406536
2700,1491512069
2725,1490598256
3836,1513330602
3838,1436300905
4850,1475178233
5316,1501524426
5757,1486764308
6081,1469794688
7301,1510951664
7418,1495459885
8763,1526638216
10110,1434895246
10616,1497531440
10993,1435967677
11878,1525131033
11902,1496592430
12608,1437403252
12710,1488802608
12957,1444231734
13027,1496597831
13805,1507926768
14313,1519413922
14340,1436215344
14392,1495038259
14439,1434998528
14649,1467110794
15176,1505651094
16946,1458491129
17128,1435693980
17715,1524304624
17718,1445854952
18211,1506705456
18714,1503079468
21833,1509973977
22154,1469013992
22335,1434833241
22431,1493049276
22893,1504983437
22920,1474722401
25582,1522026747
25835,1515085988
26541,1472823673
3266,1450097137
3312,1526062258
4236,1501257731
4249,1434801337
4665,1526571282
4988,1483537214
5234,1436172287
591,1468593093
6143,1511858840
6380,1436202867
8409,1484138578
8583,1487358900
9622,1513578720
9835,1513974426
10417,1475498263
10668,1462869770
11795,1523550175
13180,1509369448
13655,1490795556
14810,1437075915
16133,1523731826
16654,1524716280
16798,1475766879
17099,1477494492
17375,1439995563
17583,1436391446
1773,1476900200
18339,1495546913
18750,1456146061
20098,1476995414
20592,1490699671
21117,1448761476
22043,1465237159
22652,1494502324
22831,1513349548
23535,1486140947
23959,1520530559
24521,1512243853
24758,1480775908
26131,1448282751
26415,1517908204
3895,1502310320
