COMMUNITY AREA NAME,sum(KWH JANUARY 2010),sum(KWH FEBRUARY 2010),sum(KWH MARCH 2010),sum(KWH APRIL 2010),sum(KWH MAY 2010),sum(KWH JUNE 2010),sum(KWH JULY 2010),sum(KWH AUGUST 2010),sum(KWH SEPTEMBER 2010),sum(KWH OCTOBER 2010),sum(KWH NOVEMBER 2010),sum(KWH DECEMBER 2010)
Jefferson Park,6868732,6951569,6707294,7043177,9324582,13057071,13181970,9862917,7307958,7767399,10460180,9768826
Clearing,6913598,6599081,6066663,6014038,7848311,10449197,11965279,10542079,7253039,6513940,8222066,9731434
Lincoln Square,10797648,10433725,9897863,10536030,13345933,17718277,18173842,14337308,11031845,10975263,14661994,15841007
Armour Square,5528116,5463905,4914495,4942071,5119589,5615089,7439015,7065485,5698898,4340991,5501227,7681674
South Lawndale,19125341,20114693,19695136,18767063,21033902,24139203,30225606,30250447,24461841,20694339,22567746,26209988
Irving Park,11400615,11430544,10749617,10841290,13957926,19532995,20576795,17190337,12623587,12307357,16039367,18165244
Belmont Cragin,15661282,16844580,15791461,15443287,18480112,23403306,25867306,24148650,18072171,16338152,21313044,24219643
McKinley Park,4108533,4210809,4120808,3869003,4270525,5024941,6322657,6154636,5136549,4372026,4867677,5792575
Douglas,8849837,9053504,8704377,8607071,9692091,10852692,13358019,12874387,10698945,9256093,10086895,11510389
Near West Side,91419538,90722262,85415194,85277736,100232839,111521537,117192057,111970165,98315390,87198956,94789339,109499350
Avalon Park,2742619,2629352,2413518,2434028,2782662,3688298,3991451,3506747,2637194,2679234,3868365,4367912
Chatham,7070562,7057412,6926419,6814147,8414180,11055649,11778821,9698491,7710211,8129780,10496514,11588686
South Shore,9437592,9374174,8890479,8617650,9484752,12295643,13374855,11841294,9634747,10246010,12989446,15846419
Auburn Gresham,9494108,9534584,9208973,8950586,10746825,14160557,15024383,12789634,9844096,10268113,14091731,16251771
Greater Grand Crossing,6597276,6834430,6536888,6405374,6978149,9124680,9567808,8775763,7156185,7320274,9163226,10975865
Archer Heights,8999177,8700446,8275265,8519853,9163139,10777922,11499250,11148907,9248428,8549338,9221395,10483703
Burnside,1120345,1110407,1102426,1089560,1287721,1495791,1567598,1292817,1109799,1142035,1444386,1564108
Edgewater,18514017,16048894,13620553,14158965,17214356,23049973,21940917,18700330,14793919,16020676,25913873,24194294
Dunning,9042871,9112588,8864390,9013133,12546489,17719330,19512508,15158370,10352166,9582100,13196424,14804411
Grand Boulevard,5170342,5429987,4676700,4223571,4711487,5454681,6477966,6576845,5130379,4847535,6230195,8249408
Loop,208427935,187892942,172160266,162138188,188765284,206538589,218759187,205527275,181730058,167072912,206344917,250443823
